Screen, Action, Date --- Time
Estimote Sensor,Killed Sensor at,08/05/2019 19:52:27.626
Estimote Service,Killed Estimote Service at,08/05/2019 19:52:27.639
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:52:42.320
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:53:12.392
Estimote Timer,Started Estimote Service at,08/05/2019 19:54:12.583
Estimote Timer,No Activity at 4,08/05/2019 19:54:12.602
Estimote Sensor,Killed Sensor at,08/05/2019 19:54:27.631
Estimote Service,Killed Estimote Service at,08/05/2019 19:54:27.648
Estimote Timer,Started Estimote Service at,08/05/2019 19:56:12.584
Estimote Timer,No Activity at 5,08/05/2019 19:56:12.599
Estimote Timer,Stopped the Estimote Timer,08/05/2019 19:56:12.625
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:56:12.639
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:57:42.320
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:58:12.402
Followup EMA Timer Scheduler,Started at,08/05/2019 20:00:20.469
Main Activity,Restarted Estimote Timer at,08/05/2019 20:00:31.053
Estimote Timer,Started Estimote Service at,08/05/2019 20:00:31.256
Estimote Timer,No Activity at 1,08/05/2019 20:00:31.358
Main Activity,Failed to unregister battery information at,08/05/2019 20:00:35.581
Estimote Sensor,Killed Sensor at,08/05/2019 20:00:46.405
Estimote Service,Killed Estimote Service at,08/05/2019 20:00:46.418
Estimote Timer,Started Estimote Service at,08/05/2019 20:02:31.256
Estimote Timer,No Activity at 2,08/05/2019 20:02:31.274
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 20:02:42.322
Estimote Sensor,Killed Sensor at,08/05/2019 20:02:46.304
Estimote Service,Killed Estimote Service at,08/05/2019 20:02:46.317
Heart Rate Sensor,Killed Sensor at,08/05/2019 20:03:12.400
Estimote Timer,Started Estimote Service at,08/05/2019 20:04:31.258
Estimote Timer,No Activity at 3,08/05/2019 20:04:31.272
Estimote Sensor,Killed Sensor at,08/05/2019 20:04:46.298
