Screen, Action, Date --- Time
Sleep Button,Started Estimote Sensor while NOT charging at,08/06/2019 06:16:39.436
Estimote Timer,Started Estimote Service at,08/06/2019 06:16:43.745
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 06:16:43.735
Estimote Timer,No Activity at 2,08/06/2019 06:16:43.767
Estimote Sensor,Killed Sensor at,08/06/2019 06:16:58.834
Estimote Service,Killed Estimote Service at,08/06/2019 06:16:58.851
Heart Rate Sensor,Killed Sensor at,08/06/2019 06:17:13.825
Estimote Timer,Started Estimote Service at,08/06/2019 06:18:05.021
Estimote Timer,No Activity at 3,08/06/2019 06:18:05.037
Estimote Sensor,Killed Sensor at,08/06/2019 06:18:20.075
Estimote Service,Killed Estimote Service at,08/06/2019 06:18:20.087
Estimote Timer,Started Estimote Service at,08/06/2019 06:18:43.747
Estimote Timer,No Activity at 4,08/06/2019 06:18:43.762
Estimote Sensor,Killed Sensor at,08/06/2019 06:18:58.789
Estimote Service,Killed Estimote Service at,08/06/2019 06:18:58.802
Estimote Timer,Started Estimote Service at,08/06/2019 06:20:05.021
Estimote Timer,No Activity at 5,08/06/2019 06:20:05.044
Estimote Timer,Stopped the Estimote Timer,08/06/2019 06:20:05.055
Estimote Timer,Stopped Estimote Timer at,08/06/2019 06:20:05.067
Estimote Timer,Started Estimote Service at,08/06/2019 06:20:28.541
Estimote Timer,No Activity at 1,08/06/2019 06:20:28.560
Estimote Sensor,Killed Sensor at,08/06/2019 06:20:43.604
Estimote Service,Killed Estimote Service at,08/06/2019 06:20:43.617
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 06:21:43.703
Heart Rate Sensor,Killed Sensor at,08/06/2019 06:22:13.797
Estimote Timer,Started Estimote Service at,08/06/2019 06:22:28.542
Estimote Timer,No Activity at 2,08/06/2019 06:22:28.568
Estimote Sensor,Killed Sensor at,08/06/2019 06:22:43.596
Estimote Service,Killed Estimote Service at,08/06/2019 06:22:43.608
Estimote Timer,Started Estimote Service at,08/06/2019 06:24:28.544
Estimote Timer,No Activity at 3,08/06/2019 06:24:28.558
Estimote Sensor,Killed Sensor at,08/06/2019 06:24:43.618
Estimote Service,Killed Estimote Service at,08/06/2019 06:24:43.630
Estimote Timer,Started Estimote Service at,08/06/2019 06:26:28.545
Estimote Timer,Starting the Estimote,08/06/2019 06:26:28.563
Estimote Sensor,Killed Sensor at,08/06/2019 06:26:43.591
Estimote Service,Killed Estimote Service at,08/06/2019 06:26:43.675
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 06:26:43.705
Heart Rate Sensor,Killed Sensor at,08/06/2019 06:27:13.781
Estimote Timer,Started Estimote Service at,08/06/2019 06:28:28.547
Estimote Timer,No Activity at 1,08/06/2019 06:28:28.563
